"Method";"Mean_RD";"Nb_itt";"Coverage_rate";"MC_CR";"CI_width";"P_025_CIW";"P_975_CIW";"MC_CIW";"Bias_Mean";"MC_bias";"Bias_relative_Mean";"MC_RelativeBias";"Emp_SE";"ModSE";"RE_SE";"MC_RESE";"Scenario";"k";"m";"icc";"nb_cov_indiv";"nb_cov_clus";"Prevalence";"Convergence_rate"
"CL_TSP_Bin";0,0889741677670172;1000;94,4;0,00727076337120113;0,385446328063796;0,302038950254511;0,443925635188543;0,00115893034670164;-0,0110258322329828;0,00291181019601753;-11,0258322329828;0,0329118630834494;0,0920795233351676;0,0913208163030328;-0,823969330698116;2,2187671469718;4;10;200;0,2;3;2;"0.5/0.4";100
"CL_GC_indv";0,104874001810112;999;94,7947947947948;0,00702794621188721;0,405056159345461;0,31888785608381;0,459619020407837;0,00116513733731179;0,00487400181011166;0,00306956547532489;4,87400181011167;0,0293097143118624;0,0970196370592017;0,0971620746074826;0,146813111859045;2,24160894425365;4;10;200;0,2;3;2;"0.5/0.4";99,9
"CL_GC_both";0,105852765666596;944;93,114406779661;0,00824125067668017;0,400197706333362;0,278394669215223;0,55193479607058;0,0021482833035591;0,00585276566659578;0,00328632549608139;5,85276566659578;0,0311046411654179;0,100970980441351;0,0968929734277157;-4,03879114158348;2,20971756090223;4;10;200;0,2;3;2;"0.5/0.4";94,4
"CL_GC_indep_indv";0,100439805773333;1000;93,2;0,00796090447122687;0,454655190293822;0,333797143768564;0,559016807684611;0,00181783774147616;0,000439805773332973;0,00341938774448936;0,439805773332974;0,034044433679623;0,108130534758522;0,109475876554055;1,24418305942673;2,26506604056803;4;10;200;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_both";0,100411322068074;1000;90,4;0,00931579304192617;0,43855266804455;0,288889977076629;0,63034325428803;0,00266726075123232;0,000411322068073636;0,00361125242158433;0,411322068073649;0,0359648293507675;0,114197828580051;0,106683470655398;-6,58012329839105;2,09007581640018;4;10;200;0,2;3;2;"0.5/0.4";100
"CL_TMLE_indv";0,096565924874347;1000;93,5;0,0077958322198467;0,381196157381267;0,31572815077058;0,424908397311705;0,00088821954510461;-0,00343407512565302;0,00301395189425492;-3,43407512565302;0,0312302449511881;0,0953095274402449;0,0909668542899779;-4,55638934207254;2,13525993477562;4;10;200;0,2;3;2;"0.5/0.4";100
"CL_TMLE_both";0,0972174283242971;1000;90;0,00948683298050514;0,363509429831581;0,249832092089597;0,446744458065739;0,00155271582344034;-0,00278257167570287;0,00324022606862007;-2,78257167570287;0,0333413079344408;0,102464945106925;0,0872967506808209;-14,8033011780521;1,90603047489268;4;10;200;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_Balzer";0,10039150524496;1000;90,8;0,00913980306133562;0,371751844196382;0,288093754622053;0,427162165198668;0,00116201889397993;0,000391505244960087;0,00319803042585365;0,391505244960086;0,0318558287807828;0,101130601722158;0,0889042357969062;-12,0896797972602;1,96673023766233;4;10;200;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_indv_Balzer";0,100053564290381;1000;93,6;0,0077397674383666;0,385174415537033;0,319893391976559;0,430372549274015;0,000895998144484702;5,35642903813914e-05;0,00303682513465507;0,0535642903813896;0,0303519982477706;0,0960328428115756;0,0919153839416594;-4,28755283022807;2,14127457915466;4;10;200;0,2;3;2;"0.5/0.4";100
"CL_UN";0,108966833210812;1000;95,1;0,00682634602111555;0,358072827930129;0,302976226684109;0,413652954681086;0,000901476935472629;0,00896683321081245;0,00281615000413896;8,96683321081245;0,0259993478976706;0,0890544824577174;0,0887190550134106;-0,376654195330417;2,22877020208883;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_TSP_Gauss";0,0848657519448281;1000;95,2;0,00675988165576884;0,334401159819458;0,280196442610428;0,393259214850846;0,000927155742348581;-0,0151342480551719;0,00259039704914878;-15,1342480551719;0,0308967564982622;0,0819155471948927;0,0827581778221109;1,02865775310443;2,26020966573895;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_TSP_Bin";0,0848694390489877;1000;95,2;0,00675988165576884;0,334328874072138;0,27998766301246;0,393576060161469;0,000927484554378658;-0,0151305609510123;0,00259010365834445;-15,1305609510123;0,0308918504604645;0,0819062693630306;0,0827406485333593;1,01870000528359;2,25998689648734;5;20;10;0,2;3;2;"0.5/0.4";100
"CL_GC_indv";0,0955519666481004;1000;94,4;0,00727076337120113;0,337908284994236;0,285728864431424;0,391279587150105;0,000868947270781199;-0,00444803335189956;0,002680542851729;-4,44803335189956;0,0280885226863033;0,0847662077714667;0,0838048454934459;-1,13413387633513;2,21182270262157;5;20;10;0,2;3;2;"0.5/0.4";100
